Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_Polarized_Small_US","CP_Radial_D5.0mm_P2.50mm",149.265000,-62.230000,0.000000,top
"R1","1k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",97.155000,-100.330000,180.000000,top
"R2","1k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",175.895000,-78.105000,0.000000,top
"R3","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",137.160000,-97.155000,180.000000,top
"R4","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",149.225000,-97.155000,180.000000,top
"R5","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",160.655000,-97.155000,180.000000,top
"R6","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",155.575000,-71.755000,180.000000,top
"RV1","R_Potentiometer","Potentiometer_Alps_RK09K_Single_Vertical",172.125000,-98.125000,90.000000,top
"S1","200MSP1T2B4M2QE","SW_200MSP1T2B4M2QE",123.825000,-90.805000,90.000000,top
"S2","1825910-7","Switch_Tactile_THT_6x6mm",132.675000,-93.495000,90.000000,top
"S3","1825910-7","Switch_Tactile_THT_6x6mm",144.435000,-93.495000,90.000000,top
"S4","1825910-7","Switch_Tactile_THT_6x6mm",155.865000,-93.495000,90.000000,top
"S5","1825910-7","Switch_Tactile_THT_6x6mm",150.785000,-81.990000,90.000000,top
"U1","ESP32-DEVKITC-32D","MODULE_ESP32-DEVKITC-32D",116.205000,-63.500000,90.000000,top
"U2","NRF24L01_Breakout","nRF24L01_Breakout",154.395000,-53.640000,90.000000,top
"U3","THB001P","CNK_THB001P",103.505000,-91.440000,0.000000,top
"U4","THB001P","CNK_THB001P",169.545000,-69.215000,0.000000,top
