"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"nRF24L01_Breakout";1;"NRF24L01_Breakout";;;
2;"H4,H2,H3,H1";"MountingHole_2.1mm";4;"MountingHole";;;
3;"S4,S2,S5,S3";"Switch_Tactile_THT_6x6mm";4;"1825910-7";;;
4;"U1";"MODULE_ESP32-DEVKITC-32D";1;"ESP32-DEVKITC-32D";;;
5;"U4,U3";"CNK_THB001P";2;"THB001P";;;
6;"R1,R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"1k";;;
7;"R5,R6,R4,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";4;"1K";;;
8;"RV1";"Potentiometer_Alps_RK09K_Single_Vertical";1;"R_Potentiometer";;;
9;"C1";"CP_Radial_D5.0mm_P2.50mm";1;"C_Polarized_Small_US";;;
10;"S1";"SW_200MSP1T2B4M2QE";1;"200MSP1T2B4M2QE";;;
